Column1,R_kpc,+R,-RColumn4,v_km/s,+v,-v
,8,8,8,200,200,200
,13.15,12.93,13.39,200,194,206
,0.094,0.094,0.094,201.765,199.265,204.265
,0.122,0.122,0.122,218.694,214.694,222.694
,0.141,0.141,0.141,232.647,229.647,235.647
,0.226,0.226,0.226,245.435,242.435,248.435
,0.245,0.245,0.245,254.888,252.888,256.888
,0.264,0.264,0.264,256.341,253.841,258.841
,0.311,0.311,0.311,248.224,245.224,251.224
,0.376,0.376,0.376,250.059,247.059,253.059
,0.414,0.414,0.414,251.565,249.065,254.065
,0.471,0.471,0.471,250.824,248.324,253.324
,0.518,0.518,0.518,248.006,244.006,252.006
,0.546,0.546,0.546,243.635,241.635,245.635
,0.565,0.565,0.565,239.588,237.588,241.588
,0.659,0.659,0.659,229.353,227.353,231.353
,0.696,0.696,0.696,229.259,225.259,233.259
,0.894,0.894,0.894,222.465,219.465,225.465
,0.941,0.941,0.941,220.647,216.647,224.647
,0.988,0.988,0.988,217.029,213.029,221.029
,1.035,1.035,1.035,215.412,213.412,217.412
,1.064,1.064,1.064,212.641,210.641,214.641
,1.082,1.082,1.082,215.294,212.294,218.294
,1.129,1.129,1.129,216.776,213.776,219.776
,1.176,1.176,1.176,217.559,213.559,221.559
,1.205,1.205,1.205,216.288,213.288,219.288
,1.224,1.224,1.224,212.441,210.441,214.441
,1.318,1.318,1.318,197.706,194.706,200.706
,1.327,1.327,1.327,214.282,211.282,217.282
,1.365,1.365,1.365,208.588,206.588,210.588
,1.459,1.459,1.459,197.553,188.553,206.553
,1.506,1.506,1.506,207.835,205.335,210.335
,1.525,1.525,1.525,209.188,206.188,212.188
,1.553,1.553,1.553,205.318,202.318,208.318
,1.6,1.6,1.6,201.8,198.8,204.8
,1.619,1.619,1.619,195.153,192.153,198.153
,1.647,1.647,1.647,198.082,191.082,205.082
,1.694,1.694,1.694,200.365,197.365,203.365
,1.807,1.807,1.807,201.982,198.982,204.982
,1.901,1.901,1.901,200.247,197.247,203.247
,2.005,2.005,2.005,199.488,196.488,202.488
,2.071,2.071,2.071,195.324,193.324,197.324
,2.221,2.221,2.221,193.447,190.447,196.447
,2.259,2.259,2.259,190.353,188.353,192.353
,2.306,2.306,2.306,189.435,186.435,192.435
,2.4,2.4,2.4,189.3,186.3,192.3
,1.845,1.845,1.845,201.388,194.388,208.388
,1.939,1.939,1.939,198.153,196.653,199.653
,2.071,2.071,2.071,191.324,189.824,192.824
,2.353,2.353,2.353,188.118,185.118,191.118
,2.428,2.428,2.428,193.929,190.929,196.929
,2.447,2.447,2.447,190.082,188.582,191.582
,2.494,2.494,2.494,189.265,187.265,191.265
,2.541,2.541,2.541,190.647,188.647,192.647
,2.588,2.588,2.588,187.529,186.029,189.029
,2.635,2.635,2.635,189.512,188.012,191.012
,2.682,2.682,2.682,189.794,188.294,191.294
,2.729,2.729,2.729,188.876,187.376,190.376
,2.776,2.776,2.776,188.959,187.459,190.459
,2.824,2.824,2.824,192.241,190.241,194.241
,2.871,2.871,2.871,189.824,187.824,191.824
,2.918,2.918,2.918,192.406,190.906,193.906
,2.936,2.936,2.936,193.559,192.059,195.059
,2.974,2.974,2.974,185.865,184.365,187.365
,3.031,3.031,3.031,190.424,188.924,191.924
,3.059,3.059,3.059,193.353,191.853,194.853
,3.106,3.106,3.106,191.435,189.935,192.935
,3.162,3.162,3.162,191.094,189.594,192.594
,3.2,3.2,3.2,187.7,186.2,189.2
,3.219,3.219,3.219,191.453,189.953,192.953
,3.247,3.247,3.247,196.682,195.182,198.182
,3.304,3.304,3.304,201.441,199.941,202.941
,3.332,3.332,3.332,197.071,195.571,198.571
,3.369,3.369,3.369,193.776,192.276,195.276
,3.407,3.407,3.407,195.482,193.982,196.982
,3.445,3.445,3.445,197.688,196.188,199.188
,3.482,3.482,3.482,197.694,195.694,199.694
,3.529,3.529,3.529,199.176,197.176,201.176
,3.576,3.576,3.576,197.059,195.059,199.059
,3.614,3.614,3.614,196.465,194.965,197.965
,3.671,3.671,3.671,195.724,193.724,197.724
,3.689,3.689,3.689,198.276,196.776,199.776
,3.746,3.746,3.746,197.635,196.135,199.135
,3.784,3.784,3.784,201.041,199.541,202.541
,3.821,3.821,3.821,201.947,200.447,203.447
,3.859,3.859,3.859,202.853,201.353,204.353
,3.896,3.896,3.896,198.259,196.759,199.759
,3.953,3.953,3.953,201.318,199.818,202.818
,3.972,3.972,3.972,207.571,206.071,209.071
,4.009,4.009,4.009,210.576,209.076,212.076
,4.047,4.047,4.047,212.282,210.782,213.782
,4.094,4.094,4.094,212.565,211.065,214.065
,4.141,4.141,4.141,214.147,212.647,215.647
,4.188,4.188,4.188,214.929,213.429,216.429
,4.235,4.235,4.235,213.212,211.712,214.712
,4.264,4.264,4.264,206.841,205.641,208.041
,4.311,4.311,4.311,207.024,205.524,208.524
,4.348,4.348,4.348,208.629,207.129,210.129
,4.386,4.386,4.386,208.035,206.035,210.035
,4.424,4.424,4.424,219.141,217.641,220.641
,4.452,4.452,4.452,215.371,211.871,218.871
,4.48,4.48,4.48,221.3,218.3,224.3
,4.518,4.518,4.518,212.706,211.206,214.206
,4.565,4.565,4.565,201.588,200.088,203.088
,4.612,4.612,4.612,200.071,198.071,202.071
,4.659,4.659,4.659,202.353,200.353,204.353
,4.706,4.706,4.706,199.235,197.735,200.735
,4.753,4.753,4.753,199.118,197.618,200.618
,4.8,4.8,4.8,208.2,206.7,209.7
,4.838,4.838,4.838,206.906,205.406,208.406
,4.875,4.875,4.875,207.312,205.812,208.812
,4.894,4.894,4.894,213.165,211.665,214.665
,4.932,4.932,4.932,210.171,208.171,212.171
,4.96,4.96,4.96,212.2,210.7,213.7
,4.988,4.988,4.988,212.529,211.029,214.029
,5.035,5.035,5.035,211.412,209.912,212.912
,5.082,5.082,5.082,213.494,211.994,214.994
,5.129,5.129,5.129,211.776,209.776,213.776
,5.176,5.176,5.176,212.859,211.359,214.359
,5.214,5.214,5.214,207.165,205.665,208.665
,5.271,5.271,5.271,211.124,209.624,212.624
,5.299,5.299,5.299,209.153,207.653,210.653
,5.336,5.336,5.336,209.459,207.959,210.959
,5.365,5.365,5.365,207.588,205.588,209.588
,5.412,5.412,5.412,207.471,205.971,208.971
,5.459,5.459,5.459,203.353,201.853,204.853
,5.506,5.506,5.506,205.535,204.035,207.035
,5.534,5.534,5.534,206.465,204.965,207.965
,5.572,5.572,5.572,211.071,209.571,212.571
,5.609,5.609,5.609,209.976,208.476,211.476
,5.666,5.666,5.666,212.035,210.035,214.035
,5.694,5.694,5.694,209.765,208.265,211.265
,5.741,5.741,5.741,209.947,208.447,211.447
,5.788,5.788,5.788,209.029,207.529,210.529
,5.854,5.854,5.854,209.565,208.065,211.065
,5.911,5.911,5.911,204.824,201.824,207.824
,5.929,5.929,5.929,208.376,206.876,209.876
,5.976,5.976,5.976,210.059,208.559,211.559
,6.024,6.024,6.024,214.141,212.641,215.641
,6.052,6.052,6.052,220.471,218.971,221.971
,6.108,6.108,6.108,222.729,221.229,224.229
,6.146,6.146,6.146,203.635,202.135,205.135
,6.193,6.193,6.193,204.818,203.318,206.318
,6.212,6.212,6.212,218.671,217.171,220.171
,6.259,6.259,6.259,218.853,217.353,220.353
,6.306,6.306,6.306,220.735,219.235,222.235
,6.344,6.344,6.344,224.041,222.541,225.541
,6.362,6.362,6.362,224.694,223.194,226.194
,6.4,6.4,6.4,227.7,224.2,231.2
,6.447,6.447,6.447,220.882,219.382,222.382
,6.494,6.494,6.494,204.965,202.965,206.965
,6.541,6.541,6.541,207.647,206.147,209.147
,6.588,6.588,6.588,207.829,192.829,222.829
,6.635,6.635,6.635,209.412,207.412,211.412
,6.682,6.682,6.682,208.994,206.994,210.994
,6.729,6.729,6.729,208.176,206.176,210.176
,6.758,6.758,6.758,210.106,208.606,211.606
,6.776,6.776,6.776,208.659,207.159,210.159
,6.814,6.814,6.814,214.965,212.965,216.965
,6.852,6.852,6.852,202.071,200.571,203.571
,6.889,6.889,6.889,205.776,204.276,207.276
,6.918,6.918,6.918,205.406,203.906,206.906
,6.965,6.965,6.965,210.088,208.588,211.588
,7.012,7.012,7.012,201.671,200.171,203.171
,7.059,7.059,7.059,210.953,209.453,212.453
,7.106,7.106,7.106,207.435,205.435,209.435
,7.153,7.153,7.153,208.818,206.818,210.818
,7.2,7.2,7.2,206,204,208
,7.219,7.219,7.219,207.553,206.353,208.753
,7.266,7.266,7.266,202.635,201.035,204.235
,7.322,7.322,7.322,205.994,204.494,207.494
,7.341,7.341,7.341,201.847,200.347,203.347
,7.36,7.36,7.36,200.6,199.1,202.1
,7.435,7.435,7.435,205.412,201.412,209.412
,7.473,7.473,7.473,205.318,203.818,206.818
,7.511,7.511,7.511,209.224,206.224,212.224
,7.558,7.558,7.558,204.906,203.706,206.106
,7.567,7.567,7.567,205.282,204.082,206.482
,7.624,7.624,7.624,200.241,198.941,201.541
,7.671,7.671,7.671,200.424,198.924,201.924
,7.718,7.718,7.718,202.706,201.206,204.206
,7.755,7.755,7.755,199.812,198.512,201.112
,7.774,7.774,7.774,199.565,198.065,201.065
,7.812,7.812,7.812,202.471,200.971,203.971
,7.859,7.859,7.859,211.553,210.053,213.053
,7.906,7.906,7.906,209.835,208.335,211.335
,7.953,7.953,7.953,211.118,209.618,212.618
,8,8,8,207.5,206,209
,2.071,2.071,2.071,201.064,201.064,201.064
,2.205,2.205,2.205,195.427,195.427,195.427
,2.339,2.339,2.339,190.574,190.574,190.574
,2.472,2.472,2.472,191.103,191.103,191.103
,2.605,2.605,2.605,189.914,189.914,189.914
,2.736,2.736,2.736,191.704,191.704,191.704
,2.867,2.867,2.867,192.674,192.674,192.674
,2.997,2.997,2.997,190.221,190.221,190.221
,3.126,3.126,3.126,193.146,193.146,193.146
,3.254,3.254,3.254,217.847,217.847,217.847
,3.381,3.381,3.381,216.824,216.824,216.824
,3.507,3.507,3.507,200.174,200.174,200.174
,3.632,3.632,3.632,197.198,197.198,197.198
,3.756,3.756,3.756,199.594,199.594,199.594
,3.878,3.878,3.878,202.862,202.862,202.862
,4,4,4,208.7,208.7,208.7
,4.12,4.12,4.12,235.308,235.308,235.308
,4.239,4.239,4.239,212.984,212.984,212.984
,4.357,4.357,4.357,212.728,212.728,212.728
,4.474,4.474,4.474,214.239,214.239,214.239
,4.589,4.589,4.589,211.315,211.315,211.315
,4.702,4.702,4.702,206.557,206.557,206.557
,4.815,4.815,4.815,209.363,209.363,209.363
,4.925,4.925,4.925,211.132,211.132,211.132
,5.035,5.035,5.035,212.264,212.264,212.264
