Distance_from _Sun,Orbital_period,Orbital_speed,eccentricity,Inclination,Rotation
0.3871,0.2408,47.9,0.206,7,58.65
0.7233,0.6152,35,0.007,3.39,-243.01*
1,1,29.8,0.017,0,0.997
1.5273,1.8809,24.1,0.093,1.85,1.026
5.2028,11.862,13.1,0.048,1.31,0.41
9.5388,29.458,9.6,0.056,2.49,0.426
19.1914,84.01,6.8,0.046,0.77,-0.746*
30.0611,164.79,5.4,0.01,1.77,0.718
2.76596,4.599,17.882,0.07976,10.587,0.378
39.5294,248.54,4.7,0.248,17.15,-6.4*
43.335,285.4,4.484,0.18874,28.19,0.163
45.791,309.88,4.419,0.159,28.96,?
67.6681,557,3.436,0.44177,44.187,> 8 hrs ?
,,,,,
